question_text,subject,cognitive_level_bloom,readability_score,word_count,sentence_count,time_taken_minutes,total_students_attempted,correct_attempts,incorrect_attempts,correct_percentage,learning_gap_score,discrimination_index,difficulty_label,assessment_quality_score
Find derivative of function scenario number 4590.,Mathematics,create,85.19,35,3,5,104,36,68,0.353,0.661,0.741,hard,0.544
Implement binary search for scenario number 4591.,Computer Science,analyze,69.67,15,2,13,279,139,140,0.501,0.513,0.798,medium,0.647
Determine projectile motion range for scenario number 4592.,Physics,analyze,61.69,22,1,24,126,73,53,0.581,0.468,0.993,medium,0.777
Find derivative of function scenario number 4593.,Mathematics,understand,49.15,36,3,19,134,118,16,0.886,0.122,0.733,easy,0.808
Determine projectile motion range for scenario number 4594.,Physics,analyze,59.73,33,1,10,277,114,163,0.414,0.624,0.833,medium,0.616
Implement binary search for scenario number 4595.,Computer Science,create,74.08,25,3,4,175,68,107,0.394,0.615,0.722,hard,0.556
Describe inheritance in scenario number 4596.,Computer Science,create,76.17,26,1,4,179,52,127,0.296,0.711,0.912,hard,0.603
Evaluate matrix determinant for scenario number 4597.,Mathematics,analyze,63.14,48,2,15,149,71,78,0.479,0.559,0.823,medium,0.643
Evaluate logical reasoning pattern in scenario number 4598.,Engineering Aptitude,understand,50.43,37,3,8,163,136,27,0.836,0.17,0.661,easy,0.747
Evaluate logical reasoning pattern in scenario number 4599.,Engineering Aptitude,evaluate,74.56,18,2,21,201,35,166,0.179,0.866,0.793,hard,0.477
Evaluate matrix determinant for scenario number 4600.,Mathematics,remember,51.84,18,3,18,106,90,16,0.856,0.179,0.544,easy,0.693
Determine stress on beam under scenario number 4601.,Engineering Aptitude,create,82.43,20,2,4,184,61,123,0.335,0.706,0.995,hard,0.657
Apply Newton law to system scenario number 4602.,Physics,create,84.98,45,3,11,167,118,49,0.712,0.313,0.514,easy,0.608
Find derivative of function scenario number 4603.,Mathematics,analyze,62.09,30,1,12,181,101,80,0.559,0.457,0.747,medium,0.65
Find derivative of function scenario number 4604.,Mathematics,evaluate,81.14,19,2,6,211,107,104,0.508,0.529,0.904,medium,0.699
Determine projectile motion range for scenario number 4605.,Physics,create,85.91,33,3,17,123,18,105,0.15,0.879,0.616,hard,0.377
Evaluate logical reasoning pattern in scenario number 4606.,Engineering Aptitude,evaluate,88.69,31,2,5,108,24,84,0.227,0.805,0.643,hard,0.429
Explain database normalization of scenario number 4607.,Computer Science,evaluate,72.86,41,1,8,294,80,214,0.274,0.762,0.642,hard,0.451
Analyze time complexity of scenario number 4608.,Computer Science,remember,51.03,49,1,9,211,162,49,0.772,0.256,0.708,easy,0.734
Determine stress on beam under scenario number 4609.,Engineering Aptitude,remember,48.95,43,2,24,121,103,18,0.858,0.154,0.772,easy,0.813
Determine stress on beam under scenario number 4610.,Engineering Aptitude,understand,41.36,15,1,7,238,202,36,0.852,0.185,0.707,easy,0.772
Evaluate matrix determinant for scenario number 4611.,Mathematics,analyze,56.78,37,2,11,174,87,87,0.505,0.529,0.668,medium,0.58
Solve the quadratic equation scenario number 4612.,Mathematics,understand,49.38,28,1,19,292,256,36,0.878,0.152,0.608,easy,0.737
Evaluate matrix determinant for scenario number 4613.,Mathematics,understand,48.64,15,1,16,111,90,21,0.818,0.222,0.584,easy,0.693
Solve the quadratic equation scenario number 4614.,Mathematics,understand,49.81,19,1,18,232,198,34,0.856,0.166,0.703,easy,0.775
Evaluate logical reasoning pattern in scenario number 4615.,Engineering Aptitude,analyze,68.81,43,1,4,181,126,55,0.697,0.31,0.678,medium,0.686
Compute circuit resistance for scenario number 4616.,Physics,evaluate,76.22,30,2,11,139,19,120,0.143,0.896,0.619,hard,0.373
Find derivative of function scenario number 4617.,Mathematics,understand,41.02,26,2,4,295,214,81,0.727,0.318,0.534,easy,0.621
Analyze time complexity of scenario number 4618.,Computer Science,evaluate,71.99,48,2,8,230,79,151,0.345,0.7,0.689,hard,0.508
Find derivative of function scenario number 4619.,Mathematics,apply,59.41,36,2,15,242,119,123,0.493,0.528,0.904,medium,0.694
Implement binary search for scenario number 4620.,Computer Science,apply,69.07,34,3,9,228,96,132,0.424,0.584,0.934,medium,0.677
Determine stress on beam under scenario number 4621.,Engineering Aptitude,create,81.03,42,3,10,224,80,144,0.361,0.673,0.637,hard,0.492
Evaluate matrix determinant for scenario number 4622.,Mathematics,analyze,69.12,28,3,15,282,168,114,0.598,0.416,0.829,medium,0.711
Determine projectile motion range for scenario number 4623.,Physics,evaluate,80.74,25,2,24,287,93,194,0.327,0.719,0.721,hard,0.515
Find derivative of function scenario number 4624.,Mathematics,understand,43.67,44,1,6,206,170,36,0.83,0.172,0.605,easy,0.717
Determine projectile motion range for scenario number 4625.,Physics,create,84.45,33,2,17,144,34,110,0.243,0.78,0.71,hard,0.472
Calculate efficiency of machine with scenario number 4626.,Engineering Aptitude,analyze,60.67,41,1,7,290,133,157,0.46,0.554,0.585,medium,0.52
Find derivative of function scenario number 4627.,Mathematics,evaluate,75.04,35,1,22,185,20,165,0.108,0.918,0.659,hard,0.378
Implement binary search for scenario number 4628.,Computer Science,understand,40.65,44,2,12,296,222,74,0.751,0.258,0.758,easy,0.753
Analyze time complexity of scenario number 4629.,Computer Science,remember,49.09,49,3,12,179,141,38,0.788,0.216,0.933,easy,0.86
Evaluate matrix determinant for scenario number 4630.,Mathematics,evaluate,70.94,32,1,13,179,24,155,0.139,0.869,0.767,hard,0.451
Find derivative of function scenario number 4631.,Mathematics,create,82.81,36,3,7,127,47,80,0.371,0.649,0.768,hard,0.565
Explain database normalization of scenario number 4632.,Computer Science,remember,53.4,41,1,13,270,223,47,0.827,0.185,0.892,easy,0.857
Apply Newton law to system scenario number 4633.,Physics,create,74.05,32,2,22,268,33,235,0.127,0.894,0.817,hard,0.468
Apply Newton law to system scenario number 4634.,Physics,analyze,65.34,18,1,5,280,186,94,0.665,0.342,0.722,medium,0.692
Solve the quadratic equation scenario number 4635.,Mathematics,analyze,59.66,15,2,16,161,80,81,0.503,0.531,0.772,medium,0.631
Find derivative of function scenario number 4636.,Mathematics,create,88.59,40,2,19,294,63,231,0.218,0.783,0.985,hard,0.601
Solve the quadratic equation scenario number 4637.,Mathematics,remember,47.98,39,1,11,110,81,29,0.741,0.277,0.59,easy,0.662
Analyze flowchart representing scenario number 4638.,Engineering Aptitude,apply,59.5,25,1,17,191,128,63,0.671,0.371,0.615,medium,0.635
Analyze flowchart representing scenario number 4639.,Engineering Aptitude,create,84.52,15,3,3,103,20,83,0.196,0.824,0.983,hard,0.585
Compute circuit resistance for scenario number 4640.,Physics,evaluate,72.23,21,3,14,222,22,200,0.102,0.926,0.984,hard,0.537
Explain database normalization of scenario number 4641.,Computer Science,create,79.68,21,3,15,194,66,128,0.34,0.682,0.586,hard,0.459
Analyze flowchart representing scenario number 4642.,Engineering Aptitude,understand,42.82,22,2,10,177,146,31,0.826,0.213,0.943,easy,0.877
Evaluate logical reasoning pattern in scenario number 4643.,Engineering Aptitude,understand,51.05,32,1,8,110,81,29,0.745,0.299,0.766,easy,0.747
Determine projectile motion range for scenario number 4644.,Physics,create,81.89,16,1,4,136,14,122,0.11,0.91,0.969,hard,0.536
Compute circuit resistance for scenario number 4645.,Physics,apply,59.32,25,1,15,168,68,100,0.407,0.637,0.92,medium,0.655
Determine projectile motion range for scenario number 4646.,Physics,create,70.98,43,1,20,190,28,162,0.15,0.864,0.572,hard,0.358
Evaluate matrix determinant for scenario number 4647.,Mathematics,apply,56.56,30,3,22,289,172,117,0.598,0.432,0.973,medium,0.779
Apply Newton law to system scenario number 4648.,Physics,analyze,61.68,31,1,10,258,133,125,0.517,0.486,0.787,medium,0.651
Determine stress on beam under scenario number 4649.,Engineering Aptitude,analyze,66.91,19,2,5,245,141,104,0.579,0.444,0.898,medium,0.734
Determine projectile motion range for scenario number 4650.,Physics,understand,51.22,43,1,4,157,117,40,0.749,0.269,0.553,easy,0.647
Analyze flowchart representing scenario number 4651.,Engineering Aptitude,analyze,69.82,30,2,24,212,123,89,0.58,0.448,0.836,medium,0.702
Analyze flowchart representing scenario number 4652.,Engineering Aptitude,analyze,60.57,19,2,23,285,192,93,0.677,0.343,0.87,medium,0.769
Analyze flowchart representing scenario number 4653.,Engineering Aptitude,apply,63.23,15,2,4,288,126,162,0.441,0.562,0.888,medium,0.664
Explain database normalization of scenario number 4654.,Computer Science,create,88.09,42,3,24,120,30,90,0.255,0.79,0.692,hard,0.464
Determine stress on beam under scenario number 4655.,Engineering Aptitude,create,71.63,25,3,10,180,70,110,0.394,0.625,0.913,hard,0.65
Calculate electric field for scenario number 4656.,Physics,understand,42.65,43,3,6,120,95,25,0.797,0.23,0.556,easy,0.671
Calculate electric field for scenario number 4657.,Physics,create,85.53,20,1,7,128,21,107,0.166,0.875,0.874,hard,0.512
Describe inheritance in scenario number 4658.,Computer Science,evaluate,82.18,33,3,13,186,24,162,0.13,0.898,0.679,hard,0.399
Evaluate logical reasoning pattern in scenario number 4659.,Engineering Aptitude,create,78.9,23,2,16,247,44,203,0.178,0.862,0.959,hard,0.561
Implement binary search for scenario number 4660.,Computer Science,analyze,59.74,34,2,23,211,168,43,0.796,0.229,0.551,easy,0.669
Calculate efficiency of machine with scenario number 4661.,Engineering Aptitude,evaluate,80.28,36,1,11,256,45,211,0.178,0.87,0.616,hard,0.387
Evaluate logical reasoning pattern in scenario number 4662.,Engineering Aptitude,evaluate,72.66,19,2,17,190,58,132,0.307,0.728,0.736,hard,0.514
Calculate efficiency of machine with scenario number 4663.,Engineering Aptitude,understand,45.86,44,3,12,218,192,26,0.881,0.167,0.65,easy,0.756
Determine projectile motion range for scenario number 4664.,Physics,evaluate,80.59,42,1,15,168,43,125,0.256,0.778,0.766,hard,0.504
Compute circuit resistance for scenario number 4665.,Physics,evaluate,78.7,42,3,18,173,53,120,0.312,0.71,0.651,hard,0.477
Determine stress on beam under scenario number 4666.,Engineering Aptitude,analyze,64.32,28,2,22,219,93,126,0.427,0.578,0.616,medium,0.52
Find derivative of function scenario number 4667.,Mathematics,analyze,61.4,28,2,8,154,94,60,0.612,0.425,0.531,medium,0.564
Determine projectile motion range for scenario number 4668.,Physics,create,80.77,36,3,13,258,45,213,0.175,0.859,0.804,hard,0.483
Compute circuit resistance for scenario number 4669.,Physics,evaluate,87.23,20,2,4,236,40,196,0.172,0.844,0.883,hard,0.524
Calculate electric field for scenario number 4670.,Physics,analyze,59.85,49,1,14,248,125,123,0.507,0.511,0.554,medium,0.527
Describe inheritance in scenario number 4671.,Computer Science,understand,45.41,36,2,13,264,193,71,0.733,0.271,0.94,easy,0.836
Compute circuit resistance for scenario number 4672.,Physics,apply,59.97,49,3,11,205,128,77,0.627,0.407,0.553,medium,0.583
Solve the quadratic equation scenario number 4673.,Mathematics,remember,54.37,43,2,11,195,171,24,0.877,0.168,0.692,easy,0.776
Solve the quadratic equation scenario number 4674.,Mathematics,remember,53.92,35,2,19,193,167,26,0.867,0.165,0.729,easy,0.792
Compute definite integral of scenario number 4675.,Mathematics,remember,42.46,49,1,8,235,192,43,0.818,0.194,0.689,easy,0.751
Explain database normalization of scenario number 4676.,Computer Science,understand,54.59,41,2,5,159,120,39,0.756,0.29,0.563,easy,0.65
Calculate electric field for scenario number 4677.,Physics,apply,69.28,32,2,14,123,72,51,0.593,0.437,0.959,medium,0.77
Compute definite integral of scenario number 4678.,Mathematics,evaluate,85.32,37,1,14,209,78,131,0.376,0.628,0.792,hard,0.583
Describe inheritance in scenario number 4679.,Computer Science,analyze,62.03,26,1,7,234,94,140,0.404,0.637,0.979,medium,0.683
Implement binary search for scenario number 4680.,Computer Science,apply,59.34,29,3,10,124,51,73,0.413,0.593,0.932,medium,0.671
Analyze time complexity of scenario number 4681.,Computer Science,evaluate,86.92,15,2,24,169,66,103,0.393,0.624,0.624,hard,0.505
Calculate electric field for scenario number 4682.,Physics,understand,41.17,37,1,9,230,205,25,0.893,0.151,0.834,easy,0.855
Calculate efficiency of machine with scenario number 4683.,Engineering Aptitude,evaluate,87.13,17,2,5,127,28,99,0.228,0.779,0.765,hard,0.495
Determine stress on beam under scenario number 4684.,Engineering Aptitude,evaluate,86.02,42,1,23,296,58,238,0.198,0.831,0.712,hard,0.449
Evaluate logical reasoning pattern in scenario number 4685.,Engineering Aptitude,create,81.17,42,1,15,175,54,121,0.312,0.734,0.816,hard,0.555
Apply Newton law to system scenario number 4686.,Physics,create,76.29,15,3,14,255,82,173,0.324,0.682,0.589,hard,0.455
Compute circuit resistance for scenario number 4687.,Physics,remember,51.38,48,3,3,117,98,19,0.845,0.197,0.854,easy,0.841
Find derivative of function scenario number 4688.,Mathematics,analyze,63.69,20,1,18,179,111,68,0.621,0.407,0.78,medium,0.695
Analyze flowchart representing scenario number 4689.,Engineering Aptitude,analyze,60.51,40,2,8,161,77,84,0.481,0.519,0.999,medium,0.74
Apply Newton law to system scenario number 4690.,Physics,evaluate,74.21,18,3,18,153,50,103,0.328,0.717,0.641,hard,0.475
Describe inheritance in scenario number 4691.,Computer Science,evaluate,74.49,49,2,16,260,95,165,0.369,0.653,0.819,hard,0.59
Compute circuit resistance for scenario number 4692.,Physics,remember,47.94,38,3,13,170,122,48,0.718,0.312,0.797,easy,0.752
Evaluate logical reasoning pattern in scenario number 4693.,Engineering Aptitude,apply,60.02,22,3,14,178,109,69,0.618,0.383,0.537,medium,0.577
Compute definite integral of scenario number 4694.,Mathematics,remember,42.64,24,2,8,247,193,54,0.785,0.229,0.723,easy,0.751
Calculate electric field for scenario number 4695.,Physics,evaluate,70.1,16,2,14,250,54,196,0.218,0.793,0.777,hard,0.495
Describe inheritance in scenario number 4696.,Computer Science,understand,51.23,24,2,22,257,187,70,0.731,0.306,0.656,easy,0.686
Determine projectile motion range for scenario number 4697.,Physics,apply,66.59,38,2,22,144,15,129,0.108,0.921,0.978,hard,0.537
Compute definite integral of scenario number 4698.,Mathematics,evaluate,85.9,16,3,22,269,106,163,0.397,0.624,0.574,hard,0.481
Calculate efficiency of machine with scenario number 4699.,Engineering Aptitude,evaluate,88.21,46,3,6,192,71,121,0.371,0.639,0.903,hard,0.635
Determine stress on beam under scenario number 4700.,Engineering Aptitude,apply,55.27,46,3,12,239,95,144,0.401,0.627,0.622,medium,0.506
Implement binary search for scenario number 4701.,Computer Science,evaluate,82.63,24,3,21,285,67,218,0.236,0.787,0.795,hard,0.511
Analyze time complexity of scenario number 4702.,Computer Science,analyze,62.9,47,1,12,202,122,80,0.608,0.418,0.715,medium,0.656
Implement binary search for scenario number 4703.,Computer Science,remember,51.98,35,2,16,120,104,16,0.869,0.154,0.919,easy,0.889
Determine projectile motion range for scenario number 4704.,Physics,apply,63.33,44,3,23,210,141,69,0.674,0.353,0.683,medium,0.673
Analyze flowchart representing scenario number 4705.,Engineering Aptitude,apply,67.99,48,1,10,167,90,77,0.54,0.487,0.665,medium,0.597
Compute definite integral of scenario number 4706.,Mathematics,create,71.09,19,2,18,152,22,130,0.145,0.888,0.587,hard,0.359
Calculate efficiency of machine with scenario number 4707.,Engineering Aptitude,apply,66.68,47,2,5,286,121,165,0.424,0.597,0.67,medium,0.543
Find derivative of function scenario number 4708.,Mathematics,evaluate,76.77,20,3,8,131,23,108,0.179,0.846,0.894,hard,0.531
Solve the quadratic equation scenario number 4709.,Mathematics,apply,64.67,18,1,3,212,112,100,0.532,0.482,0.749,medium,0.638
Compute circuit resistance for scenario number 4710.,Physics,analyze,57.41,44,3,20,121,59,62,0.492,0.536,0.661,medium,0.571
Calculate efficiency of machine with scenario number 4711.,Engineering Aptitude,create,79.56,29,3,23,138,36,102,0.267,0.766,0.528,hard,0.391
Describe inheritance in scenario number 4712.,Computer Science,apply,66.42,31,2,22,257,127,130,0.497,0.518,0.899,medium,0.695
Describe inheritance in scenario number 4713.,Computer Science,analyze,57.57,33,2,4,255,148,107,0.584,0.437,0.624,medium,0.6
Implement binary search for scenario number 4714.,Computer Science,apply,58.57,36,2,6,107,49,58,0.463,0.556,0.506,medium,0.481
Implement binary search for scenario number 4715.,Computer Science,analyze,68.55,19,3,5,100,65,35,0.652,0.393,0.956,medium,0.795
Explain database normalization of scenario number 4716.,Computer Science,remember,51.56,45,3,5,112,94,18,0.845,0.167,0.914,easy,0.877
Calculate efficiency of machine with scenario number 4717.,Engineering Aptitude,create,81.08,23,3,17,217,82,135,0.38,0.634,0.53,hard,0.452
Analyze time complexity of scenario number 4718.,Computer Science,remember,48.16,37,3,16,235,209,26,0.893,0.137,0.849,easy,0.865
Apply Newton law to system scenario number 4719.,Physics,understand,52.91,28,2,15,239,209,30,0.875,0.163,0.919,easy,0.89
Find derivative of function scenario number 4720.,Mathematics,apply,57.11,29,2,23,257,166,91,0.649,0.364,0.978,medium,0.811
Find derivative of function scenario number 4721.,Mathematics,evaluate,70.26,33,3,19,289,63,226,0.221,0.783,0.915,hard,0.567
Apply Newton law to system scenario number 4722.,Physics,remember,47.0,25,2,20,227,160,67,0.708,0.331,0.885,easy,0.789
Solve the quadratic equation scenario number 4723.,Mathematics,create,76.46,40,2,4,189,26,163,0.14,0.877,0.942,hard,0.538
Analyze time complexity of scenario number 4724.,Computer Science,understand,47.78,49,1,18,142,116,26,0.822,0.192,0.782,easy,0.799
Evaluate logical reasoning pattern in scenario number 4725.,Engineering Aptitude,create,84.17,16,2,21,255,89,166,0.35,0.673,0.994,hard,0.667
Solve the quadratic equation scenario number 4726.,Mathematics,remember,40.35,26,2,21,180,152,28,0.847,0.197,0.605,easy,0.717
Calculate electric field for scenario number 4727.,Physics,create,73.21,37,1,4,204,37,167,0.182,0.832,0.547,hard,0.362
Find derivative of function scenario number 4728.,Mathematics,remember,49.54,36,3,6,187,150,37,0.804,0.204,0.636,easy,0.719
Solve the quadratic equation scenario number 4729.,Mathematics,analyze,56.24,40,1,21,295,44,251,0.151,0.888,0.658,hard,0.397
Calculate electric field for scenario number 4730.,Physics,remember,43.35,49,1,24,158,134,24,0.851,0.155,0.823,easy,0.836
Evaluate matrix determinant for scenario number 4731.,Mathematics,apply,69.84,32,3,18,193,114,79,0.593,0.409,0.75,medium,0.671
Compute circuit resistance for scenario number 4732.,Physics,understand,41.25,34,3,5,266,189,77,0.713,0.326,0.716,easy,0.707
Determine stress on beam under scenario number 4733.,Engineering Aptitude,analyze,62.13,37,2,23,118,76,42,0.65,0.39,0.503,medium,0.569
Analyze time complexity of scenario number 4734.,Computer Science,analyze,62.18,27,1,24,157,135,22,0.863,0.148,0.899,easy,0.879
Solve the quadratic equation scenario number 4735.,Mathematics,understand,54.3,38,2,10,274,220,54,0.804,0.234,0.895,easy,0.842
Determine projectile motion range for scenario number 4736.,Physics,understand,51.02,17,2,19,209,186,23,0.893,0.116,0.679,easy,0.784
Apply Newton law to system scenario number 4737.,Physics,create,79.62,21,1,18,256,41,215,0.163,0.838,0.742,hard,0.452
Find derivative of function scenario number 4738.,Mathematics,understand,46.37,38,2,24,148,131,17,0.89,0.146,0.941,easy,0.908
Implement binary search for scenario number 4739.,Computer Science,understand,45.9,35,1,20,291,234,57,0.807,0.236,0.899,easy,0.844
Evaluate logical reasoning pattern in scenario number 4740.,Engineering Aptitude,evaluate,76.43,38,2,8,148,16,132,0.111,0.91,0.553,hard,0.328
Evaluate logical reasoning pattern in scenario number 4741.,Engineering Aptitude,understand,43.31,46,2,9,260,195,65,0.751,0.284,0.703,easy,0.72
Evaluate logical reasoning pattern in scenario number 4742.,Engineering Aptitude,apply,55.47,37,2,23,132,71,61,0.538,0.469,0.591,medium,0.563
Apply Newton law to system scenario number 4743.,Physics,create,86.96,18,2,19,128,18,110,0.147,0.866,0.978,hard,0.56
Explain database normalization of scenario number 4744.,Computer Science,understand,43.39,29,2,19,113,99,14,0.883,0.135,0.709,easy,0.793
Solve the quadratic equation scenario number 4745.,Mathematics,remember,51.42,30,2,4,266,209,57,0.787,0.237,0.564,easy,0.671
Evaluate logical reasoning pattern in scenario number 4746.,Engineering Aptitude,create,70.47,18,3,13,254,43,211,0.171,0.831,0.736,hard,0.453
Evaluate matrix determinant for scenario number 4747.,Mathematics,remember,45.74,39,2,10,254,227,27,0.897,0.141,0.86,easy,0.871
Calculate efficiency of machine with scenario number 4748.,Engineering Aptitude,create,74.33,46,2,10,213,27,186,0.131,0.917,0.889,hard,0.5
Compute definite integral of scenario number 4749.,Mathematics,evaluate,84.52,45,2,15,233,72,161,0.309,0.692,0.563,hard,0.436
Analyze time complexity of scenario number 4750.,Computer Science,evaluate,78.51,46,2,12,136,64,72,0.471,0.564,0.86,medium,0.659
Describe inheritance in scenario number 4751.,Computer Science,apply,64.57,19,2,10,240,125,115,0.524,0.492,0.957,medium,0.737
Evaluate logical reasoning pattern in scenario number 4752.,Engineering Aptitude,analyze,57.79,46,1,13,293,139,154,0.476,0.569,0.643,medium,0.551
Describe inheritance in scenario number 4753.,Computer Science,apply,67.77,43,3,21,179,100,79,0.563,0.485,0.833,medium,0.689
Calculate electric field for scenario number 4754.,Physics,evaluate,86.41,38,1,16,191,46,145,0.246,0.764,0.743,hard,0.492
Apply Newton law to system scenario number 4755.,Physics,create,80.31,16,1,22,228,90,138,0.395,0.647,0.701,hard,0.54
Describe inheritance in scenario number 4756.,Computer Science,analyze,58.4,22,1,15,228,111,117,0.488,0.519,0.511,medium,0.498
Evaluate logical reasoning pattern in scenario number 4757.,Engineering Aptitude,analyze,59.47,16,3,24,193,77,116,0.402,0.645,0.789,medium,0.586
Analyze flowchart representing scenario number 4758.,Engineering Aptitude,analyze,56.24,28,1,19,164,122,42,0.748,0.257,0.557,easy,0.651
Compute circuit resistance for scenario number 4759.,Physics,analyze,59.79,42,2,15,166,133,33,0.804,0.216,0.726,easy,0.761
Determine projectile motion range for scenario number 4760.,Physics,analyze,66.47,30,3,4,172,72,100,0.421,0.591,0.965,medium,0.69
Compute circuit resistance for scenario number 4761.,Physics,apply,63.58,48,3,17,253,166,87,0.657,0.352,0.578,medium,0.616
Evaluate matrix determinant for scenario number 4762.,Mathematics,create,77.87,40,3,15,269,70,199,0.263,0.757,0.869,hard,0.562
Calculate electric field for scenario number 4763.,Physics,evaluate,70.5,18,1,6,181,64,117,0.355,0.651,0.974,hard,0.663
Calculate electric field for scenario number 4764.,Physics,remember,48.21,23,1,18,248,207,41,0.836,0.201,0.626,easy,0.724
Evaluate matrix determinant for scenario number 4765.,Mathematics,analyze,57.55,22,2,17,227,130,97,0.574,0.469,0.611,medium,0.584
Determine projectile motion range for scenario number 4766.,Physics,apply,59.99,34,3,15,190,109,81,0.574,0.437,0.521,medium,0.545
Apply Newton law to system scenario number 4767.,Physics,analyze,57.61,30,1,7,231,152,79,0.662,0.348,0.993,medium,0.826
Determine projectile motion range for scenario number 4768.,Physics,evaluate,85.26,40,2,8,191,54,137,0.285,0.74,0.971,hard,0.623
Implement binary search for scenario number 4769.,Computer Science,understand,47.63,15,2,23,286,245,41,0.857,0.18,0.93,easy,0.886
Analyze flowchart representing scenario number 4770.,Engineering Aptitude,analyze,65.54,16,3,23,168,87,81,0.522,0.509,0.703,medium,0.606
Determine stress on beam under scenario number 4771.,Engineering Aptitude,analyze,57.21,46,1,10,110,52,58,0.477,0.55,0.588,medium,0.527
Compute definite integral of scenario number 4772.,Mathematics,remember,44.85,23,3,5,165,146,19,0.888,0.151,0.634,easy,0.753
Compute definite integral of scenario number 4773.,Mathematics,create,79.31,25,1,22,296,50,246,0.17,0.834,0.956,hard,0.562
Evaluate logical reasoning pattern in scenario number 4774.,Engineering Aptitude,understand,52.24,35,3,11,223,177,46,0.795,0.241,0.767,easy,0.774
Compute circuit resistance for scenario number 4775.,Physics,understand,52.76,16,3,14,140,99,41,0.707,0.317,0.83,easy,0.764
Analyze flowchart representing scenario number 4776.,Engineering Aptitude,remember,52.54,33,1,13,101,79,22,0.792,0.239,0.626,easy,0.703
Implement binary search for scenario number 4777.,Computer Science,apply,58.22,23,2,6,204,137,67,0.673,0.352,0.608,medium,0.635
Describe inheritance in scenario number 4778.,Computer Science,evaluate,80.43,16,2,13,171,127,44,0.748,0.294,0.984,easy,0.858
Determine projectile motion range for scenario number 4779.,Physics,apply,62.63,39,2,23,137,89,48,0.654,0.365,0.824,medium,0.735
Implement binary search for scenario number 4780.,Computer Science,apply,58.05,22,2,5,201,140,61,0.698,0.342,0.847,medium,0.765
Calculate efficiency of machine with scenario number 4781.,Engineering Aptitude,remember,52.05,42,1,12,121,91,30,0.758,0.276,0.754,easy,0.749
Evaluate logical reasoning pattern in scenario number 4782.,Engineering Aptitude,analyze,58.33,47,1,11,271,126,145,0.469,0.564,0.526,medium,0.491
Calculate electric field for scenario number 4783.,Physics,apply,62.27,16,2,13,290,199,91,0.688,0.327,0.969,medium,0.825
Determine projectile motion range for scenario number 4784.,Physics,create,82.14,32,3,15,146,40,106,0.28,0.742,0.573,hard,0.422
Evaluate logical reasoning pattern in scenario number 4785.,Engineering Aptitude,evaluate,81.07,16,3,12,266,98,168,0.371,0.664,0.519,hard,0.438
Explain database normalization of scenario number 4786.,Computer Science,create,85.82,26,1,12,190,24,166,0.128,0.889,0.646,hard,0.383
Calculate electric field for scenario number 4787.,Physics,apply,61.76,47,3,3,124,61,63,0.496,0.531,0.675,medium,0.58
Calculate electric field for scenario number 4788.,Physics,understand,42.65,39,3,9,133,103,30,0.781,0.243,0.672,easy,0.722
Analyze flowchart representing scenario number 4789.,Engineering Aptitude,remember,43.8,38,1,4,119,85,34,0.72,0.305,0.738,easy,0.724
Analyze time complexity of scenario number 4790.,Computer Science,analyze,59.53,47,2,12,248,153,95,0.618,0.415,0.576,medium,0.59
Determine projectile motion range for scenario number 4791.,Physics,remember,51.62,44,2,19,214,160,54,0.749,0.281,0.628,easy,0.682
Analyze flowchart representing scenario number 4792.,Engineering Aptitude,evaluate,77.3,38,2,22,126,19,107,0.157,0.85,0.707,hard,0.431
Analyze time complexity of scenario number 4793.,Computer Science,analyze,67.83,32,3,16,245,106,139,0.435,0.604,0.789,medium,0.604
Determine stress on beam under scenario number 4794.,Engineering Aptitude,apply,63.78,41,2,4,106,49,57,0.463,0.559,0.862,medium,0.658
Determine projectile motion range for scenario number 4795.,Physics,remember,50.01,35,3,5,123,104,19,0.85,0.184,0.82,easy,0.828
Determine stress on beam under scenario number 4796.,Engineering Aptitude,understand,53.7,33,1,15,128,109,19,0.853,0.19,0.679,easy,0.757
Compute definite integral of scenario number 4797.,Mathematics,apply,57.14,34,2,14,166,114,52,0.688,0.32,0.718,medium,0.701
Determine stress on beam under scenario number 4798.,Engineering Aptitude,apply,60.06,32,2,12,269,150,119,0.559,0.47,0.912,medium,0.73
Describe inheritance in scenario number 4799.,Computer Science,apply,59.48,42,2,14,276,180,96,0.656,0.372,0.831,medium,0.738
Calculate electric field for scenario number 4800.,Physics,evaluate,82.98,18,3,10,228,52,176,0.232,0.793,0.901,hard,0.561
Compute definite integral of scenario number 4801.,Mathematics,create,82.81,49,1,6,236,34,202,0.148,0.899,0.705,hard,0.417
Find derivative of function scenario number 4802.,Mathematics,evaluate,87.21,39,1,4,269,75,194,0.282,0.737,0.601,hard,0.438
Implement binary search for scenario number 4803.,Computer Science,analyze,59.89,24,1,10,153,65,88,0.427,0.585,0.592,medium,0.507
Calculate efficiency of machine with scenario number 4804.,Engineering Aptitude,apply,66.19,29,3,3,251,137,114,0.549,0.471,0.958,medium,0.75
Implement binary search for scenario number 4805.,Computer Science,understand,49.17,49,2,21,183,162,21,0.891,0.158,0.616,easy,0.744
Analyze time complexity of scenario number 4806.,Computer Science,remember,53.43,28,2,21,131,99,32,0.761,0.273,0.957,easy,0.852
Calculate efficiency of machine with scenario number 4807.,Engineering Aptitude,apply,62.48,28,3,13,146,98,48,0.677,0.327,0.669,medium,0.672
